"bucket","qty","cluster","month","predicted"
210,30,4,11,0
225,22,4,11,0
240,224,4,11,0
0,112,4,12,4187
15,24044,4,12,11725
30,16918,4,12,16416
45,8111,4,12,15323
60,9526,4,12,10727
75,2417,4,12,6008
90,2543,4,12,2804
105,1074,4,12,1122
120,3478,4,12,393
135,71,4,12,122
150,73,4,12,34
165,32,4,12,9
180,186,4,12,2
195,15,4,12,0
210,29,4,12,0
225,26,4,12,0
240,216,4,12,0
0,718,1,0,376
15,14460,1,0,2129
30,12987,1,0,6031
45,9869,1,0,11392
60,23654,1,0,16137
75,6790,1,0,18288
90,8996,1,0,17271
105,2864,1,0,13980
120,13298,1,0,9902
135,1196,1,0,6234
150,1573,1,0,3533
165,525,1,0,1820
180,3735,1,0,859
195,416,1,0,375
210,548,1,0,152
225,255,1,0,57
240,6681,1,0,20
0,51,1,1,35
15,1197,1,1,193
30,1023,1,1,530
45,836,1,1,969
60,1824,1,1,1328
75,537,1,1,1456
90,725,1,1,1331
105,252,1,1,1043
120,983,1,1,715
135,89,1,1,435
150,107,1,1,239
165,36,1,1,119
180,262,1,1,54
195,32,1,1,23
210,48,1,1,9
225,12,1,1,3
240,470,1,1,1
0,70,1,2,33
15,1316,1,2,187
30,1164,1,2,530
45,860,1,2,1001
60,1972,1,2,1418
75,625,1,2,1608
90,851,1,2,1519
105,268,1,2,1230
120,1096,1,2,871
135,138,1,2,549
150,152,1,2,311
165,45,1,2,160
180,300,1,2,76
195,32,1,2,33
210,59,1,2,13
225,20,1,2,5
240,578,1,2,2
0,68,1,3,34
15,1259,1,3,185
30,1029,1,3,510
45,763,1,3,936
60,1786,1,3,1289
75,505,1,3,1419
90,673,1,3,1303
105,203,1,3,1025
120,910,1,3,705
135,84,1,3,432
150,91,1,3,238
165,27,1,3,119
180,290,1,3,55
195,26,1,3,23
210,38,1,3,9
225,19,1,3,3
240,515,1,3,1
0,56,1,4,34
15,1263,1,4,194
30,1191,1,4,548
45,840,1,4,1030
60,2145,1,4,1454
75,636,1,4,1642
90,826,1,4,1544
105,248,1,4,1245
120,1231,1,4,879
135,85,1,4,551
150,136,1,4,311
165,33,1,4,160
180,334,1,4,75
195,51,1,4,33
210,55,1,4,13
225,39,1,4,5
240,552,1,4,2
0,66,1,5,31
15,1228,1,5,179
30,1140,1,5,513
45,836,1,5,979
60,2080,1,5,1401
75,596,1,5,1604
90,799,1,5,1530
105,241,1,5,1251
120,1199,1,5,895
135,99,1,5,569
150,142,1,5,326
165,51,1,5,170
180,423,1,5,81
195,32,1,5,36
210,50,1,5,15
225,22,1,5,6
