"cluster","month","tod","dotw","ave_occupancy","dotw_string"
"2",6,"Midday",3,0.128017526455027,"Tuesday"
"2",6,"Midday",4,0.0931712962962963,"Wednesday"
"2",6,"Midday",5,0.224716159611993,"Thursday"
"2",6,"Midday",6,0.211681547619048,"Friday"
"2",6,"Midday",7,0.294764109347443,"Saturday"
"2",6,"Morning",2,0.160934744268078,"Monday"
"2",6,"Morning",3,0.0613425925925926,"Tuesday"
"2",6,"Morning",4,0.0465580908289242,"Wednesday"
"2",6,"Morning",5,0.078249007936508,"Thursday"
"2",6,"Morning",6,0.105751212522046,"Friday"
"2",6,"Morning",7,0.228328924162258,"Saturday"
"2",7,"Afternoon",2,0.0612516534391535,"Monday"
"2",7,"Afternoon",3,0.103885582010582,"Tuesday"
"2",7,"Afternoon",4,0.145973875661376,"Wednesday"
"2",7,"Afternoon",5,0.105995783730159,"Thursday"
"2",7,"Afternoon",6,0.380714699074074,"Friday"
"2",7,"Afternoon",7,0.352244543650794,"Saturday"
"2",7,"Midday",2,0.0809634038800706,"Monday"
"2",7,"Midday",3,0.08288139329806,"Tuesday"
"2",7,"Midday",4,0.161276455026455,"Wednesday"
"2",7,"Midday",5,0.143821649029982,"Thursday"
"2",7,"Midday",6,0.361331569664903,"Friday"
"2",7,"Midday",7,0.435198963844797,"Saturday"
"2",7,"Morning",2,0.0515873015873016,"Monday"
"2",7,"Morning",3,0.0656966490299824,"Tuesday"
"2",7,"Morning",4,0.0964616402116403,"Wednesday"
"2",7,"Morning",5,0.117986662257496,"Thursday"
"2",7,"Morning",6,0.259741512345679,"Friday"
"2",7,"Morning",7,0.210689484126984,"Saturday"
"2",8,"Afternoon",2,0.0395481977513228,"Monday"
"2",8,"Afternoon",3,0.102554563492064,"Tuesday"
"2",8,"Afternoon",4,0.188264715608466,"Wednesday"
"2",8,"Afternoon",5,0.166625330687831,"Thursday"
"2",8,"Afternoon",6,0.182407407407407,"Friday"
"2",8,"Afternoon",7,0.353728505291005,"Saturday"
"2",8,"Midday",2,0.0695546737213404,"Monday"
"2",8,"Midday",3,0.116939484126984,"Tuesday"
"2",8,"Midday",4,0.322324184303351,"Wednesday"
"2",8,"Midday",5,0.138756613756614,"Thursday"
"2",8,"Midday",6,0.099647266313933,"Friday"
"2",8,"Midday",7,0.253957231040564,"Saturday"
"2",8,"Morning",2,0.0470541225749559,"Monday"
"2",8,"Morning",3,0.0730957892416226,"Tuesday"
"2",8,"Morning",4,0.116016313932981,"Wednesday"
"2",8,"Morning",5,0.0987103174603175,"Thursday"
"2",8,"Morning",6,0.0611000881834215,"Friday"
"2",8,"Morning",7,0.169157848324515,"Saturday"
"2",9,"Afternoon",2,0.0404017857142857,"Monday"
"2",9,"Afternoon",3,0.105427414021164,"Tuesday"
"2",9,"Afternoon",4,0.174055472883598,"Wednesday"
"2",9,"Afternoon",5,0.145182291666667,"Thursday"
"2",9,"Afternoon",6,0.168630125661376,"Friday"
"2",9,"Afternoon",7,0.38651207010582,"Saturday"
