"cluster","month","day","ave_occupancy","predicted"
3,4,2,0.369421744036106,0.260993581824387
3,4,3,0.304806940990452,0.252156800301968
3,4,4,0.298166083325658,0.241359838816626
3,4,5,0.266950565687268,0.232199346407755
3,4,6,0.066464243498818,0.067594198060117
3,4,8,0.275226793006048,0.221043356854627
3,4,9,0.330203267477204,0.260993581824387
3,4,10,0.354475184980504,0.252156800301968
3,4,11,0.266782759202972,0.241359838816626
3,4,12,0.283431484295846,0.232199346407755
3,4,13,0.106320288753799,0.067594198060117
3,4,15,0.28790254367382,0.221043356854627
3,4,16,0.249859345737005,0.260993581824387
3,4,17,0.267199502625035,0.252156800301968
3,4,18,0.268345479874735,0.241359838816626
3,4,19,0.247465882226521,0.232199346407755
3,4,20,0.0859736805747444,0.067594198060117
3,4,22,0.30581391421817,0.221043356854627
3,4,23,0.302340732553498,0.260993581824387
3,4,24,0.245268720641061,0.252156800301968
3,4,25,0.255591515458537,0.241359838816626
3,4,26,0.277259199134199,0.232199346407755
3,4,27,0.0439374366767984,0.067594198060117
3,4,29,0.288877126124467,0.221043356854627
3,4,30,0.272177070860581,0.260993581824387
3,5,1,0.322358731693838,0.252156800301968
3,5,2,0.284007706241749,0.241359838816626
3,5,3,0.237379244573393,0.232199346407755
3,5,4,0.055681990881459,0.067594198060117
3,5,6,0.268083993429738,0.221043356854627
3,5,7,0.318065898345154,0.260993581824387
3,5,8,0.301276461422738,0.252156800301968
3,5,9,0.290711829541617,0.241359838816626
3,5,10,0.226796555985386,0.232199346407755
3,5,11,0.0931301042338276,0.067594198060117
3,5,13,0.253055920143686,0.221043356854627
3,5,14,0.26902211706733,0.260993581824387
3,5,15,0.290851716250652,0.252156800301968
3,5,16,0.281719551134445,0.241359838816626
3,5,17,0.232605653802462,0.232199346407755
3,5,18,0.0712301587301587,0.067594198060117
3,5,20,0.269445710908477,0.221043356854627
3,5,21,0.270895351693224,0.260993581824387
3,5,22,0.258871714869055,0.252156800301968
3,5,23,0.246579069571091,0.241359838816626
3,5,24,0.227024960854748,0.232199346407755
3,5,25,0.053613644039176,0.067594198060117
3,5,27,0,0.221043356854627
3,5,28,0.275052750145835,0.260993581824387
3,5,29,0.244606993184121,0.252156800301968
3,5,30,0.252020643363728,0.241359838816626
3,5,31,0.231442329833287,0.232199346407755
3,6,1,0.0332640999662276,0.067594198060117
3,6,3,0.281613590310399,0.221043356854627
3,6,4,0.272864492186301,0.260993581824387
3,6,5,0.262246380983083,0.252156800301968
3,6,6,0.23866660526235,0.241359838816626
3,6,7,0.259039674864143,0.232199346407755
3,6,8,0.0856502333364036,0.067594198060117
3,6,10,0.260092797273648,0.221043356854627
3,6,11,0.257051134444751,0.260993581824387
3,6,12,0.270562252463848,0.252156800301968
3,6,13,0.279960931503485,0.241359838816626
3,6,14,0.233190453163857,0.232199346407755
3,6,15,0.0538764353259034,0.067594198060117
3,6,17,0.233473431119708,0.221043356854627
3,6,18,0.242054914648,0.260993581824387
3,6,19,0,0.252156800301968
3,6,20,0.286252225906481,0.241359838816626
3,6,21,0.240072687359921,0.232199346407755
3,6,22,0.0342099375211077,0.067594198060117
3,6,24,0.241224056676184,0.221043356854627
3,6,25,0.264800685425685,0.260993581824387
3,6,26,0.238711334469313,0.252156800301968
3,6,27,0.254030157195051,0.241359838816626
3,6,28,0.216329576156704,0.232199346407755
3,6,29,0.223798202388628,0.067594198060117
3,7,1,0.263490490006447,0.221043356854627
3,7,2,0.264182171256639,0.260993581824387
3,7,3,0.267086096527586,0.252156800301968
3,7,4,0,0.241359838816626
3,7,5,0.193586108040895,0.232199346407755
3,7,6,0.0340421310368119,0.067594198060117
3,7,8,0.266470287986245,0.221043356854627
3,7,9,0.257854648306776,0.260993581824387
3,7,10,0.257050635534678,0.252156800301968
3,7,11,0.230256881121243,0.241359838816626
3,7,12,0.214892197046452,0.232199346407755
3,7,13,0.0680360021184489,0.067594198060117
3,7,15,0.24840855362132,0.221043356854627
3,7,16,0.238769208037825,0.260993581824387
3,7,17,0.262625974793528,0.252156800301968
3,7,18,0.244697756439778,0.241359838816626
3,7,19,0.216119957170489,0.232199346407755
3,7,20,0.0245915653495441,0.067594198060117
3,7,22,0.28228898022781,0.221043356854627
3,7,23,0.27033095007829,0.260993581824387
3,7,24,0.252366081022996,0.252156800301968
3,7,25,0.255025463602591,0.241359838816626
3,7,26,0.215038838230328,0.232199346407755
3,7,27,0.0736233919744558,0.067594198060117
3,7,29,0.235755407417641,0.221043356854627
3,7,30,0.258678272082527,0.260993581824387
3,7,31,0.256897834730282,0.252156800301968
3,8,1,0.264023479475607,0.241359838816626
3,8,2,0.226041359645083,0.232199346407755
3,8,3,0.0461506017623039,0.067594198060117
3,8,5,0.266062697645144,0.221043356854627
3,8,6,0.275854901599582,0.260993581824387
3,8,7,0.23617821451598,0.252156800301968
3,8,8,0.27154161293789,0.241359838816626
3,8,9,0.224973442633017,0.232199346407755
3,8,10,0.0629221354886249,0.067594198060117
3,8,12,0.237253960578429,0.221043356854627
3,8,13,0.274229471769365,0.260993581824387
3,8,14,0.276982150532682,0.252156800301968
3,8,15,0.309850192656044,0.241359838816626
3,8,16,0.220823527831507,0.232199346407755
3,8,17,0.0356022036474164,0.067594198060117
3,8,19,0.27516454437997,0.221043356854627
3,8,20,0.256533707132111,0.260993581824387
3,8,21,0.286550554941512,0.252156800301968
3,8,22,0.298247309723374,0.241359838816626
3,8,23,0.23709014537472,0.232199346407755
3,8,24,0.0491229736575481,0.067594198060117
3,8,26,0.267869366153941,0.221043356854627
3,8,27,0.273033718645421,0.260993581824387
3,8,28,0.293169901906604,0.252156800301968
3,8,29,0.250883358662614,0.241359838816626
3,8,30,0.224134007245709,0.232199346407755
3,8,31,0.0325194191151638,0.067594198060117
3,9,2,0,0.221043356854627
3,9,3,0.305281557981026,0.260993581824387
3,9,4,0.303229425716128,0.252156800301968
3,9,5,0.2875084239047,0.241359838816626
3,9,6,0.255862193362193,0.232199346407755
3,9,7,0.0797349828067913,0.067594198060117
3,9,9,0.308014261152559,0.221043356854627
3,9,10,0.334446420895889,0.260993581824387
3,9,11,0.286973112584815,0.252156800301968
3,9,12,0.293099824230143,0.241359838816626
3,9,13,0.259767642227749,0.232199346407755
3,9,14,0.0499083924349882,0.067594198060117
3,9,16,0.265799503392589,0.221043356854627
3,9,17,0.255477092352092,0.260993581824387
3,9,18,0.274844224924012,0.252156800301968
3,9,19,0.245746734057904,0.241359838816626
3,9,20,0.252198408860643,0.232199346407755
3,9,21,0.0495628588314759,0.067594198060117
3,9,23,0.288061062755212,0.221043356854627
3,9,24,0.309635028092475,0.260993581824387
3,9,25,0.282413918823493,0.252156800301968
3,9,26,0.282581264775414,0.241359838816626
3,9,27,0.252791958337171,0.232199346407755
3,9,28,0.0388610266801756,0.067594198060117
3,9,30,0.268821766295171,0.221043356854627
3,10,1,0.284271188327039,0.260993581824387
3,10,2,0.263022589113015,0.252156800301968
3,10,3,0.297516406465875,0.241359838816626
3,10,4,0.26329142488717,0.232199346407755
3,10,5,0.0476552761659145,0.067594198060117
3,10,7,0.263605335267569,0.221043356854627
3,10,8,0.297131228700378,0.260993581824387
3,10,9,0.245807294065273,0.252156800301968
3,10,10,0.248185444874275,0.241359838816626
3,10,11,0.25702979644469,0.232199346407755
3,10,12,0.047653242147923,0.067594198060117
3,10,14,0.125206011482607,0.221043356854627
3,10,15,0.344577711000583,0.260993581824387
3,10,16,0.270671590525314,0.252156800301968
3,10,17,0.259560997513125,0.241359838816626
3,10,18,0.252802550581806,0.232199346407755
3,10,19,0.0430749746707193,0.067594198060117
3,10,21,0.290598941543091,0.221043356854627
3,10,22,0.295833064689448,0.260993581824387
3,10,23,0.268495901261859,0.252156800301968
3,10,24,0.246181092843327,0.241359838816626
3,10,25,0.228376623376623,0.232199346407755
3,10,26,0.0770512303889963,0.067594198060117
3,10,28,0.243400148905468,0.221043356854627
3,10,29,0.270577603543029,0.260993581824387
3,10,30,0.282254651376992,0.252156800301968
3,10,31,0.249043551011636,0.241359838816626
3,11,1,0.272910833256578,0.232199346407755
3,11,2,0.197411596972767,0.067594198060117
3,11,4,0.252474459642013,0.221043356854627
3,11,5,0.272372605231648,0.260993581824387
3,11,6,0.27036712105861,0.252156800301968
